tv,radio,newspaper,sales
44.5,37.8,69.2,22.1
44.5,39.3,45.1,10.4
17.2,45.9,69.3,9.3
151.5,41.3,58.5,18.5
180.8,10.8,58.4,12.9
96.8,39.2,11.2,14.3
237.9,6.9,90.4,15.6
184.3,11.4,51.0,14.4
151.7,54.1,82.8,19.8
43.2,37.2,32.7,11.8
43.2,2.5,89.7,5.4
19.2,7.9,39.5,9.3
217.2,40.5,2.1,20.6
152.3,2.3,90.6,11.1
178.5,11.3,10.0,14.0
10.0,33.8,32.6,10.4
242.6,42.1,95.1,23.1
208.9,39.8,95.1,22.4
57.0,15.0,57.8,10.8
49.5,43.3,63.6,13.7
49.9,15.8,45.4,8.4
79.5,20.9,30.0,10.9
133.6,45.3,33.5,14.7
110.8,39.7,67.6,14.4
76.4,51.3,75.5,19.3
154.9,40.1,79.4,21.4
39.2,35.0,79.2,12.4
76.6,7.4,10.0,9.3
94.8,23.3,49.9,13.2
116.7,17.4,6.7,16.6
197.4,16.2,55.4,17.8
53.9,58.4,44.7,16.9
131.0,24.8,88.9,13.8
150.1,53.7,35.7,18.1
16.4,38.6,12.6,11.7
153.8,48.1,15.2,18.2
46.8,31.2,76.4,10.2
20.9,35.5,62.2,10.8
237.5,30.6,11.0,18.2
241.6,13.3,9.3,19.4
203.1,43.9,70.4,22.9
79.6,18.3,8.2,10.5
28.9,3.4,82.4,8.9
172.6,39.4,70.9,19.5
112.8,12.3,9.1,9.6
34.9,56.5,9.4,17.7
126.3,57.3,98.7,21.8
13.4,55.1,38.1,13.0
227.8,23.5,37.7,18.3
68.4,2.9,81.5,7.0
167.3,55.8,94.8,20.4
81.4,26.8,98.6,14.9
132.4,58.1,75.6,23.9
138.9,57.9,38.2,18.6
50.3,51.5,9.3,16.0
242.5,19.1,77.9,18.0
194.9,24.3,56.3,16.8
235.2,51.4,43.0,23.1
224.2,20.4,90.7,17.3
151.5,11.8,12.0,12.7
230.9,34.3,49.8,19.6
26.7,56.3,2.1,15.3
53.0,42.4,47.4,14.1
16.1,35.1,6.6,10.3
84.7,7.6,12.8,7.5
100.2,37.7,12.6,14.1
71.5,59.4,65.3,19.5
208.0,10.1,74.9,16.6
92.4,32.1,58.8,12.8
73.8,52.9,96.3,17.9
138.0,45.0,38.1,19.5
39.5,42.4,29.3,10.9
201.5,42.7,87.0,22.4
23.3,22.9,23.1,8.0
246.8,19.0,96.4,20.3
194.2,48.9,2.2,19.9
53.7,49.0,97.0,13.5
6.4,52.3,5.3,10.8
204.8,55.0,89.2,24.0
178.2,31.7,53.2,18.4
183.6,31.1,99.3,17.5
194.0,48.3,8.3,22.0
23.1,39.7,55.8,10.0
92.8,42.7,97.0,16.7
33.4,48.2,52.8,12.6
216.5,53.6,63.3,22.9
157.7,21.6,69.9,15.6
86.1,23.8,46.0,11.1
20.6,7.5,63.1,6.1
81.2,35.5,58.8,15.9
84.7,4.1,90.2,8.5
183.8,29.0,5.5,18.3
161.2,33.5,28.8,15.5
222.4,18.6,95.1,19.1
120.7,36.3,89.1,19.0
34.3,3.8,46.1,2.7
179.7,4.2,62.4,12.1
191.4,49.7,28.5,22.4
142.5,22.9,19.6,14.0
193.9,9.4,46.9,15.2
126.0,32.3,36.0,14.6
133.1,46.7,58.8,18.9
109.7,14.5,8.7,10.9
11.2,38.1,97.5,14.1
31.4,7.0,98.6,8.0
12.7,5.0,70.1,6.5
160.9,32.8,54.1,16.8
82.0,33.4,31.6,12.9
129.6,39.0,81.6,16.9
227.4,44.1,68.8,23.3
66.1,58.6,17.1,16.6
105.5,31.9,91.2,15.8
190.1,20.7,82.4,20.1
61.1,48.1,95.0,17.6
23.9,17.7,72.8,8.4
76.0,27.5,61.7,14.6
44.5,6.6,42.4,6.7
232.8,3.5,93.3,12.9
203.0,57.8,86.7,22.8
160.2,50.5,5.5,17.1
218.5,42.4,3.6,20.5
201.9,25.7,38.3,17.8
50.7,12.1,81.2,11.7
223.7,11.1,98.7,17.5
137.1,16.5,15.9,12.6
202.8,33.9,59.8,20.9
224.5,43.4,38.7,18.7
82.9,40.3,97.0,16.3
32.0,18.2,84.4,10.6
60.8,57.4,84.0,15.6
109.6,44.8,47.4,18.9
205.4,34.2,42.1,20.0
215.9,37.5,28.1,19.8
6.7,26.3,6.6,9.6
130.1,16.4,86.6,17.0
107.3,22.6,81.5,13.9
59.4,46.0,100.0,16.3
34.4,2.8,99.7,6.4
87.7,8.7,56.0,8.6
236.0,4.7,77.1,17.4
84.2,4.4,94.5,8.2
132.1,51.6,85.1,20.1
177.2,42.8,25.5,18.8
94.1,29.5,45.6,14.4
243.1,7.7,13.8,16.5
240.8,30.5,95.5,22.8
66.7,29.5,61.0,12.0
126.8,12.0,23.6,11.3
78.7,27.2,67.5,11.5
74.8,25.1,62.2,11.7
14.0,37.7,36.5,12.0
154.3,38.8,12.2,18.8
128.2,4.6,67.5,9.7
17.6,23.7,52.5,10.7
73.3,38.3,77.5,16.9
227.5,31.2,52.5,20.8
63.7,51.7,85.4,19.8
40.5,40.2,55.6,12.2
124.9,11.5,56.5,10.2
246.5,6.1,87.8,14.3
64.3,39.3,40.9,16.3
169.7,3.5,14.3,13.0
191.6,36.0,3.8,18.6
63.2,56.5,75.8,18.1
183.4,35.4,62.4,17.4
95.1,24.5,70.7,16.9
159.9,39.3,22.1,18.3
160.2,28.6,14.5,16.2
136.3,33.6,2.4,16.8
27.1,56.6,35.7,16.2
209.6,24.4,59.4,18.6
83.6,57.7,39.8,17.1
50.7,54.5,44.3,17.0
15.0,13.4,90.5,10.8
149.8,6.0,35.5,13.9
171.0,7.8,51.9,15.8
9.1,3.1,78.6,4.9
130.5,7.5,40.3,9.8
60.5,41.6,62.6,14.5
163.1,6.1,86.4,13.3
47.7,20.5,95.0,12.4
174.3,51.0,15.6,18.2
99.8,3.3,92.7,12.3
234.5,49.2,49.7,23.4
38.7,18.3,26.6,8.3
88.6,8.9,46.5,8.3
32.8,42.4,98.0,11.6
231.5,38.5,49.8,22.8
219.9,52.9,33.5,23.5
68.2,44.6,63.7,13.6
166.7,48.6,24.8,18.2
205.2,18.4,8.5,15.7
141.0,12.3,13.8,14.8
134.8,45.5,13.7,17.6
64.3,48.8,16.0,13.2
27.8,59.4,14.7,15.3
224.8,25.9,64.4,18.8
225.6,23.6,19.0,14.1
160.1,47.0,35.2,19.6
88.1,21.8,89.8,12.4
90.6,56.0,47.9,19.4
182.9,51.8,67.1,24.8
224.8,26.9,18.1,20.4
222.3,45.6,20.0,21.6
196.1,45.8,5.0,19.0
